Titulo,Ano,Duracao,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
Mo Gilligan: Momentum,2019,64.0,Netflix,,6.3/10,46/100,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club."
Deliha,2014,107.0,Netflix,13+,4.5/10,46/100,"Short on sense but long on self-confidence, dotty Deliha sets her sights on a hunky photographer who opens up shop in her neighborhood."
Full Count,2019,110.0,Netflix,,5.7/10,46/100,"When tragic events force an aspiring baseball player to forgo his big league dreams and return home, saving the family farm grants him renewed purpose."
The Bare-Footed Kid,1993,90.0,Netflix,18+,6.4/10,46/100,"While working at a family friend's business, a penniless orphan draws the attention of a corrupt competitor and is torn between divided loyalties."
Strange Voices,1987,100.0,Netflix,,6.4/10,46/100,"When their college-age daughter suddenly begins acting erratically and is diagnosed with schizophrenia, a desperate couple seeks treatment for her."
Dragons: Rescue Riders: Secrets of the Songwing,2020,46.0,Netflix,all,5.5/10,46/100,"When a musical dragon with a beautiful voice hypnotizes the dragons and people of Huttsgalor, the Rescue Riders have to find a way to break the spell."
Gun City,2018,126.0,Netflix,,6.3/10,46/100,"In 1921 Barcelona, amid unrest between anarchists and the police, a cop plays both sides to learn who stole army weapons that could ignite a civil war."
Patria,2019,,Netflix,18+,7.1/10,46/100,"Paco Ignacio Taibo II brings his book trilogy to life, highlighting Mexico's history in 1854-1867, a period he considers foundational to the country."
The 3rd Eye,2017,107.0,Netflix,18+,5.2/10,46/100,"When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home."
Fatal Affair,2020,89.0,Netflix,16+,4.5/10,46/100,A lawyer is caught in a terrifying game of cat and mouse when a drink with an old friend escalates into an obsession that jeopardizes everyone she loves.
Born Beautiful,2019,96.0,Netflix,,5.4/10,46/100,"After her best friend dies, Barbs attempts to rediscover herself until love leaves her true identity — and heart — in question."
One in a Billion,2016,88.0,Netflix,,6.7/10,46/100,Follow the journey of Satnam Singh Bhamara as he works to fulfill his dream of becoming the first India-born player to be drafted into the NBA.
Earth and Blood,2020,80.0,Netflix,18+,4.9/10,46/100,A sawmill owner and his teenage daughter become tangled in a deadly feud when a drug dealer stashes stolen cocaine on their remote property.
BNK48: Girls Don't Cry,2018,100.0,Netflix,,7.2/10,46/100,"Members of the Thai idol girl group BNK48 open up about their experiences beyond the spotlight, their training and the nature of fame."
Strain,2021,106.0,Netflix,,5.5/10,46/100,"When his son is diagnosed with sickle cell disease, a man and his family struggle to face a new reality as they rediscover their shared love."
Gatao 2: Rise of the King,2018,127.0,Netflix,,6.2/10,46/100,"When a zealous gang leader plans to take out a friend-turned-rival for control of his turf, internal tensions complicate the battle to be the boss."
The Student Cop,2004,110.0,Netflix,,6.2/10,46/100,"Sent undercover to investigate suspicious activity among a group of college students, a police officer gets more invested in his role than expected."
Emicida: AmarElo – Live in São Paulo,2021,99.0,Outra,,6.6/10,46/100,
The Letter Reader,2019,29.0,Netflix,,6.7/10,46/100,A young boy from Johannesburg arrives in KwaZulu-Natal and begins to read letters for villagers — then falls in love with one of the recipients.
Hello Brother,1999,139.0,Netflix,,4.7/10,46/100,"After receiving a heart transplant from a murdered man, a cop is followed around by the victim’s ghost, who won’t rest until his death has been avenged."
Mustang Island,2017,86.0,Netflix,,6.3/10,46/100,"After being dumped on New Year's Eve, Bill pursues his ex-girlfriend to an off-season Gulf Coast beach town, but things get complicated along the way."
Loving You,1995,101.0,Netflix,16+,6.4/10,46/100,"Struggling in a loveless marriage, a hard-drinking, workaholic cop finds a chance at redemption after a fateful incident leaves him wounded."
Weeds on Fire,2016,95.0,Netflix,,6.7/10,46/100,"In 1980s Hong Kong, a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league."
Perú: Tesoro Escondido,2017,76.0,Outra,,6.1/10,46/100,
Seth Rogen's Hilarity for Charity,2018,70.0,Netflix,18+,5.0/10,46/100,"Seth Rogen and friends combine stand-up, sketches and music for an outrageous comedy special that could only come from the mind of Seth."
Alelí,2019,88.0,Netflix,18+,6.3/10,46/100,"Mourning their father's death, a dysfunctional trio of siblings must face selling their beloved childhood beach house — and dealing with each other."
Manoranjan,1974,158.0,Netflix,,6.8/10,46/100,"After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets."
Abdullah : The Final Witness,2016,,Outra,,7.0/10,46/100,
The Panti Sisters,2019,108.0,Netflix,13+,5.6/10,46/100,Three gay siblings are told by their terminally ill father that they must each produce a grandchild in order to inherit their share of his fortune.
Forgive Us Our Debts,2018,104.0,Netflix,18+,6.0/10,46/100,"Threatened by creditors, a newly unemployed man agrees to work for a debt collector, but soon discovers his deal with the devil has unexpected costs."
Mukhsin,2006,95.0,Netflix,,7.2/10,46/100,"When young Mukhsin arrives in a new town, 10-year-old tomboy Orked adopts him as her new best friend, and the two develop a touching friendship that begins to spill over into the inklings of first love."
How High 2,2019,88.0,Netflix,,3.1/10,46/100,"When a pair of friends uncover a weed Bible, their magical stash gets stolen, sending them on a pot-fueled quest through Atlanta to find it."
True: Grabbleapple Harvest,2019,22.0,Netflix,all,7.2/10,46/100,It's Grabbleapple harvest season in the Rainbow Kingdom ... but Glummy Glooma doesn't want autumn to come. Can True and her friends save the festival?
My Own Man,2014,82.0,Netflix,16+,6.4/10,46/100,"When a man discovers he will be the father to a boy, his fear and insecurities send him on an emotional, humorous quest for his own manhood."
God Calling,2018,120.0,Netflix,,7.6/10,46/100,"The loss of a child plunges Sade into a suicidal depression, but her suffering leads to faith – with a little assist from modern technology."
Sol Levante,2020,125.0,Netflix,,4.7/10,46/100,A young warrior and her familiar search for the sacred place said to fulfill wishes. It's best not to anger the ancient guardians and spirits.
A Very Special Love,2008,106.0,Netflix,7+,6.7/10,46/100,"After landing a job working for her longtime crush, an optimistic woman realizes that the man of her dreams isn't exactly who she envisioned."
Good Sam,2019,,Netflix,7+,5.7/10,46/100,A curious reporter finds love while pursuing the story of a mysterious figure who's leaving bags of cash for strangers around New York City.
#cats_the_mewvie,2020,90.0,Netflix,16+,5.3/10,46/100,"This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers."
Offline: Are You Ready for the Next Level?,2016,91.0,Outra,,5.0/10,46/100,
The Violin Player,2016,124.0,Netflix,,6.9/10,46/100,"An unemployed Bollywood session violinist in Mumbai finally lands a small gig, but it's what happens on his way home that proves truly transformative."
Tim Allen: Men Are Pigs,1990,30.0,Netflix,,6.2/10,46/100,"Standup comedian Tim Allen delivers a set dedicated to ""men stuff"" like lawn care, power tools and why he grunts like an animal."
My Little Pony: Equestria Girls - Rollercoaster of Friendship,2018,44.0,Outra,all,6.4/10,46/100,
Oct-01,2014,,Netflix,,6.6/10,46/100,"Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women."
Léa & I,2019,84.0,Netflix,,6.7/10,46/100,Best friends Léa and Camille explore the notion of healing while traveling to Latin America in search of a cure for a terminal disease.
You Are My Home,2020,92.0,Netflix,,6.5/10,46/100,"After becoming separated from her family, a young girl finds herself in the care of a heartbroken woman who faces her own struggles."
The Knight & The Princess,2020,97.0,Outra,,6.2/10,46/100,
A Chaster Marriage,2016,98.0,Netflix,13+,5.4/10,46/100,"Forced to wed his childhood friend, a man obsessed with football attempts to get rid of his wife in order to keep the woman he truly loves."
Munafik 2,2018,104.0,Netflix,,6.1/10,46/100,"Haunted by terrifying visions, a Muslim healer finds his faith tested when he helps a woman locked in battle, body and soul, with a diabolical leader."
Parchís: The Documentary,2019,106.0,Outra,,6.9/10,46/100,
The Last Days of American Crime,2020,148.0,Netflix,18+,3.7/10,46/100,"A bank robber joins a plot to commit one final, historic heist before the government turns on a mind-altering signal that will end all criminal behavior."
Hawaizaada,2015,148.0,Netflix,7+,5.5/10,46/100,"In 1895 Mumbai, spirited Indian lad Shiv Talpade defies British rule and sparse funding – and physics – to build the world's first airplane."
The Doll 2,2017,117.0,Netflix,,5.3/10,46/100,"A mother uses her deceased daughter’s doll as a medium to communicate with her, but the consequences are chilling. The second of the “Doll” films."
JFK: The Making of a President,2017,43.0,Netflix,,6.5/10,46/100,"Explore how John F. Kennedy's worldview was influenced by his younger years, when he endured poor health, family tragedy and a demanding father."
All the Freckles in the World,2019,91.0,Netflix,16+,5.2/10,46/100,Thirteen-year-old José Miguel is immune to 1994 World Cup fever until he realizes soccer is the only way to win the heart of his crush.
Jagat,2015,120.0,Netflix,,7.0/10,46/100,"In early 1990s Malaysia, a Tamilian boy faces pressure from his immigrant father to focus on school but is drawn to his uncles’ lives of crime."
3 Türken und ein Baby,2015,,Outra,,5.5/10,46/100,
I'm Leaving Now,2019,74.0,Netflix,18+,6.8/10,46/100,"In this evocative documentary, an undocumented immigrant plans to return to Mexico after 16 years but his family tells him he needs to stay in the US."
Fuga,2006,130.0,Netflix,,6.2/10,46/100,"A struggling music student discovers and tries to complete an unfinished symphony begun by a famous composer, whose career was ended by a past trauma."
Mike Epps: Only One Mike,2019,63.0,Netflix,16+,4.8/10,46/100,"In a raw stand-up comedy special, Mike Epps mixes it up as he tackles sexual misconduct, special ed, aging body parts and much more."
Heroes Wanted,2016,95.0,Netflix,,4.6/10,46/100,"When its special ops agency is wiped out, Spain hastily assembles a new team to defuse a terrorist plot. But who are these scrappy would-be heroes?"
Kambili: The Whole 30 Yards,2021,119.0,Netflix,,6.4/10,46/100,"Determined to marry before she turns 30, a woman tries to change her impulsive ways and do whatever it takes to win back the boyfriend who left her."
D.L. Hughley: Contrarian,2018,58.0,Netflix,,6.6/10,46/100,"D.L. Hughley riffs on hot-button political issues, celebrity scandals, his mother's tough love and more in a rapid-fire stand-up show in Philadelphia."
Two Champions of Shaolin,1980,101.0,Outra,18+,6.3/10,46/100,
Def Comedy Jam 25,2017,80.0,Netflix,,6.7/10,46/100,"In this special live event, giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam."""
A Tale of Two Kitchens,2019,29.0,Netflix,,6.3/10,46/100,"Mexico City restaurant star Gabriela Cámara opens sister eatery Cala in San Francisco, with a similar menu and unusually welcoming kitchen culture."
Tarung Sarung,2020,115.0,Netflix,16+,6.5/10,46/100,"Wealthy and spoiled, a young man finds something to fight for when he falls in love with an environmental activist protesting his family's business."
All About Asado,2016,,Outra,,6.6/10,46/100,
The Russian Revloution,2017,47.0,Outra,16+,6.5/10,45/100,
Bbuddah Hoga Terra Baap,2011,114.0,Netflix,13+,5.6/10,45/100,"A cooly confident aging hit man returns from exile in Paris to his old city, Mumbai, to revisit his past and perform one last job."
Pickpockets,2018,108.0,Netflix,,5.4/10,45/100,Aspiring teen thieves learn what it takes to be successful pickpockets on the streets of Bogotá from a master in the arts of trickery and deception.
Michael Lost and Found,2017,19.0,Netflix,,5.2/10,45/100,"Benjie Nycum travels to Wyoming to visit his ex-lover, Michael Glatze, a former gay activist who now lives with his wife and works as a church pastor."
Adam: His Song Continues,1986,100.0,Netflix,,7.1/10,45/100,"After their child was abducted and murdered, John and Reve Walsh fought to raise national awareness of the problem of missing children."
A Fairly Odd Summer,2014,68.0,Netflix,all,3.8/10,45/100,"In this live-action adventure, the gang heads to Hawaii, where Timmy learns the source of all fairy magic is in dangerous hands."
Wheels of Fortune,2020,106.0,Netflix,18+,5.4/10,45/100,"To claim a big inheritance, a down-on-his-luck mechanic must win a series of competitions as outlined in his birth father's will."
Boi,2019,110.0,Netflix,18+,5.0/10,45/100,A young chauffeur who's at a crossroads in his life escorts a pair of clients around Barcelona and becomes embroiled in their mysterious quest.
The Girl and The Gun,2019,80.0,Outra,,5.8/10,45/100,
ReMastered: Who Killed Jam Master Jay?,2018,58.0,Netflix,,6.6/10,45/100,Run-DMC DJ Jam Master Jay made a huge impact in music and his community. But friends and family still seek closure years after his unsolved murder.
Casino Tycoon,1992,133.0,Netflix,,6.0/10,45/100,"When Japanese troops invade Hong Kong, young Benny Ho flees to Macau and rises to the top of the city's casino business with pluck, diligence and wit."
Born Racer,2018,88.0,Netflix,18+,6.2/10,45/100,"In this all-access pass, IndyCar champion Scott Dixon and his team navigate the risks on the road in the quest to win it all."
Out of Life,1991,97.0,Netflix,,6.8/10,45/100,"Kidnapped by guerrillas in Beirut, a French photojournalist refuses to yield his dignity despite being tortured and brainwashed by his captors."
Finally Found Someone,2017,125.0,Netflix,,5.8/10,45/100,"After a woman is very publicly left at the altar, the PR expert hired to fix the situation winds up falling in love with her."
Resurface,2017,26.0,Netflix,,7.0/10,45/100,A suicidal war veteran finds like-minded souls in a surf therapy program that helps traumatized soldiers heal while riding the waves.
14 Minutes from Earth,2016,84.0,Netflix,,5.7/10,45/100,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.
I Am Vengeance: Retaliation,2020,82.0,Netflix,18+,3.4/10,45/100,"To clear his criminal record, an ex-special forces soldier agrees to lead a team to retrieve a double-crossing mercenary and deliver him to justice."
Halkaa,2018,114.0,Netflix,,7.2/10,45/100,"Up against a corrupt government official and crushing poverty, a young boy in the Delhi slums attempts to raise funds to build himself his own toilet."
Ungli,2014,114.0,Netflix,13+,5.7/10,45/100,"An undercover cop finds himself in a strange position after infiltrating a ""gang"" that pulls wildly popular pranks on corrupt officials in Mumbai."
MindGamers,2015,97.0,Netflix,18+,3.7/10,45/100,"Brilliant young students discover a breakthrough that could change humankind, but soon find themselves the subjects of a much bigger experiment."
Thiago Ventura: POKAS,2020,82.0,Netflix,18+,6.6/10,45/100,"In a rollicking special, Thiago Ventura jokes about life in the hood, social issues and more, explaining how actions speak louder than words."
Catching Feelings,2017,124.0,Netflix,18+,5.7/10,45/100,"Amid growing tensions in their marriage, a Johannesburg professor and his journalist wife find their lives upended by a famous, hard-partying author."
Minnaminungu The Firefly,2017,130.0,Outra,,7.7/10,45/100,
American Woman,2019,111.0,Netflix,,5.0/10,45/100,"In rural Pennsylvania, a working-class single mom must pick up the pieces and step up to raise her grandson after her daughter suddenly disappears."
Aashik Aawara,1993,,Outra,,5.3/10,45/100,
Therapy,2021,85.0,Netflix,,,45/100,A young dysfunctional couple tries to patch up their relationship through sessions with a highly unconventional therapist.
Time Out,2015,109.0,Netflix,,6.0/10,45/100,"Raised in the privileged bubble of Delhi's elite, a teen is compelled to question his outlook on life and love when his older brother comes out as gay."
Madam Chief Minister,2021,130.0,Netflix,,4.7/10,45/100,"Rising from disadvantage to become a state leader, a tenacious politician learns that with great power comes great responsibility, ruthlessness and risk."
A Trash Truck Christmas,2020,28.0,Netflix,,5.6/10,45/100,"When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone."
Fasel Wa Naoud,2011,110.0,Outra,,6.5/10,45/100,
Handsome: A Netflix Mystery Movie,2017,80.0,Netflix,16+,5.2/10,45/100,Homicide detective Gene Handsome sets out to solve a woman's murder while searching for clues about what's missing from his personal life.
Hope Frozen: A Quest to Live Twice,2019,75.0,Netflix,,6.6/10,45/100,"A Thai scientist and his family decide to cryonically freeze their cherished, dying toddler. This heartfelt documentary follows their journey."
48 Christmas Wishes,2017,84.0,Netflix,all,4.0/10,45/100,"When a small town's letters to Santa accidentally go up in smoke, two elves venture out of the North Pole to retrieve every missing wish."
It Takes a Lunatic,2019,120.0,Netflix,,6.5/10,45/100,"The extraordinary life of beloved acting teacher and theatre producer Wynn Handman is recalled in this portrait of a provocative, innovative artist."
Tersanjung the Movie,2021,114.0,Netflix,,6.0/10,45/100,"After growing up in a tumultuous household, Yura finds herself in a love triangle with two close friends as she faces a personal and financial crisis."
Sakaling Maging Tayo,2019,90.0,Netflix,,7.1/10,45/100,"A college student seizes his chance with a crush when an unexpected encounter turns into a night of bold dares, deep confessions and possible romance."
SDU: Sex Duties Unit,2013,94.0,Netflix,,5.9/10,45/100,Four man-children in an elite tactical unit gallivant around Macau for a weekend of debauchery that gets them in trouble with the law.
Leyla Everlasting,2020,112.0,Netflix,18+,3.7/10,45/100,"A resilient housewife, her husband and their marriage therapist become mired in a toxic love triangle and a plot to obtain an antique manuscript."
Eggnoid,2019,102.0,Outra,,6.3/10,45/100,
Amy Schumer: The Leather Special,2017,57.0,Netflix,18+,2.9/10,45/100,"Comic sensation Amy Schumer riffs on sex, dating and the absurdities of fame in a bold and uncensored stand-up set at Denver's Bellco Theater."
A Mighty Team,2016,120.0,Netflix,,5.5/10,45/100,"When a fit of anger leads to a serious injury, a sidelined soccer star returns to his hometown and reluctantly agrees to train the local youth."
Thank You,2011,125.0,Netflix,,4.7/10,45/100,Three cheating husbands end up paying the price for their infidelities when their spouses hire a private detective – who falls for one of the wives.
Hostage House,2021,85.0,Netflix,,5.0/10,45/100,"A realtor and her daughter get taken captive by two fugitive criminals during an open house, forcing her to find creative ways to ensure their survival."
Up Among the Stars,2018,86.0,Outra,,6.2/10,45/100,
Shaandaar,2015,144.0,Outra,13+,3.6/10,45/100,
The Little Switzerland,2019,86.0,Netflix,13+,4.8/10,45/100,The discovery of the tomb of William Tell’s son in a town in the Basque Country spurs the village's cantankerous citizens to lobby for Swiss annexation.
Misfit,2017,86.0,Netflix,,4.3/10,45/100,"After living in America for years, a teenage girl moves back to the Netherlands and is quickly singled out as a misfit by the popular clique at school."
Afonso Padilha: Classless,2020,63.0,Netflix,,6.7/10,45/100,Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.
Suzzanna: Buried Alive,2018,125.0,Netflix,,5.6/10,45/100,"After a pregnant woman is murdered, her spirit seeks revenge against her increasingly terrified killers, who are determined to finish her off for good."
Si Doel the Movie,2018,85.0,Netflix,,7.2/10,45/100,"Fourteen years after the woman he loved left him, a married man ventures to Amsterdam to find her but must decide where his heart lies."
Across Grace Alley,2013,25.0,Netflix,all,6.2/10,45/100,"A young boy, upset by his parents' divorce, becomes infatuated with his grandmother's neighbor, an entrancing dancer he watches through a window."
Lola Igna,2019,114.0,Netflix,,7.4/10,45/100,An elderly woman finds her life disrupted when her family and village realize she has a chance at a world record for being the oldest grandmother alive.
Fierce,2020,118.0,Netflix,,5.5/10,45/100,"A gifted young singer becomes an instant sensation on a popular talent show. But her real goal is earning the love of her father, a member of the jury."
Dragons: Rescue Riders: Hunt for the Golden Dragon,2020,46.0,Netflix,all,5.5/10,45/100,"It's the treasure hunt of a lifetime for the Rescue Riders, who must race to find a precious golden dragon egg and protect it from evil pirates."
The Last Kids on Earth: Happy Apocalypse to You,2021,27.0,Netflix,18+,7.1/10,45/100,"Help Jack and his monster-battling friends make choices to stay alive — and have some fun — in this interactive ""Last Kids on Earth"" adventure!"
Beauty and the Bestie,2015,119.0,Netflix,16+,4.7/10,45/100,"Finding himself in a desperate situation, undercover agent Emman asks his former best friend, Erika, to join him on a dangerous mission."
15-Aug,2019,124.0,Netflix,,5.9/10,45/100,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy."
Milea,2020,102.0,Netflix,,6.3/10,45/100,"Years after his teen romance with Milea, a now-adult Dilan tells his version of their love story when a high school reunion brings them back together."
Scarecrow,2019,90.0,Netflix,,5.0/10,45/100,"When his former partners vote to sell off a pricey piece of stolen jewelry, a thief recruits his grandson to help him retain it and repent for his deed."
Geez & Ann,2021,105.0,Netflix,16+,5.1/10,45/100,"After falling for Geez, a heartthrob at school, Ann must confront family opposition, heartache and deception as their romance struggles."
Whispers,1980,60.0,Netflix,,8.1/10,45/100,"With her home devastated by war, a Lebanese poet takes a cross-country road trip, looking for glimmers of hope through nostalgic memories and verse."
Ghanchakkar,2013,137.0,Netflix,7+,5.8/10,45/100,"Former con artist Sanju surrounds himself with the finer things, a blissful life troubled by only one thing: his wife, who wants even more."
Listen,2017,73.0,Netflix,,6.6/10,45/100,"A sound engineer falls for a model but after an unfortunate accident, he fights to save their love by triggering her senses."
Aagey Se Right,2009,117.0,Netflix,all,5.0/10,45/100,"A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it."
Dr Jason Leong: Hashtag Blessed,2020,69.0,Outra,,7.0/10,45/100,
Between Maybes,2019,107.0,Netflix,,6.3/10,45/100,"A former actress takes a trip to Japan, where she meets a young man who provides an escape from reality and makes her consider a different way of life."
Naughty Jatts,2013,120.0,Netflix,all,6.2/10,45/100,"When three different boys propose to a lively, strictly reared girl who yearns to be a performer, she agrees to marry the winner of a singing contest."
Five Nights in Maine,2016,82.0,Netflix,,4.7/10,45/100,"After his wife dies in a car accident, a grief-stricken man visits his estranged mother-in-law in Maine, where they try to help each other heal."
"To Each, Her Own",2018,95.0,Netflix,18+,5.4/10,45/100,"Just as Simone works up the courage to tell her conservative Jewish family she's a lesbian, she finds herself attracted to a male Senegalese chef."
Two Catalonias,2018,116.0,Netflix,,6.5/10,45/100,Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.
Felix Lobrecht: Hype,2020,59.0,Netflix,,6.0/10,45/100,"Felix Lobrecht aims his dark humor at overly polite culture, weird laughter, the sheer awkwardness of a walking baby and more in this stand-up special."
Nacido en Siria,2016,86.0,Outra,,7.7/10,45/100,
Question Mark,2011,82.0,Outra,,7.0/10,45/100,
Malaal,2019,136.0,Netflix,,6.0/10,45/100,"Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new, North Indian resident of his chawl."
Countdown to Death: Pablo Escobar,2017,45.0,Netflix,,6.5/10,45/100,"Through rare interviews, images and wiretap audio, this documentary reconstructs the last nine years of Colombian drug lord Pablo Escobar's life."
Women of Mafia 2,2019,138.0,Netflix,18+,3.8/10,45/100,"When a major drug deal goes sour, the queen of the Warsaw underworld must contend with a rival criminal, a crossed ally and a religious fighter."
Düğüm Salonu,2018,100.0,Outra,all,5.4/10,45/100,
Love Like the Falling Rain,2020,86.0,Netflix,,5.0/10,45/100,"Fearing rejection, a young man struggles to declare his feelings for his best friend, who soon falls for another man — until a fateful incident."
Amrapali,1966,119.0,Netflix,,6.6/10,44/100,"In the age of Buddha and his philosophy of nonviolence, a warmonger king plots the destruction of an enemy kingdom to rescue the woman he loves."
Judge Singh LLB,2015,137.0,Netflix,all,7.3/10,44/100,"Framed by a politician for committing murder, a lower-class boy hires the only counsel he can afford: a lawyer with no courtroom experience."
BlackRose,2018,120.0,Outra,,8.0/10,44/100,
The (Silent) War,2019,121.0,Outra,18+,5.6/10,44/100,
Paranormal Investigation,2018,92.0,Netflix,,3.7/10,44/100,"When a young man becomes possessed after playing a Ouija game, a ghost hunter investigates the evil spirit dwelling within him."
Theeya Velai Seiyyanum Kumaru,2013,130.0,Outra,,6.1/10,44/100,
Garfield's Fun Fest,2008,79.0,Netflix,7+,4.4/10,44/100,"Garfield has long been the champ at a yearly competition for the funniest comic strip. But this time, Garfield must battle tall, handsome Ramone."
Bhangra Paa Le,2020,131.0,Netflix,,6.0/10,44/100,"Determined to bring traditional bhangra to the world stage, a dancer preps for an international competition against a rival with dreams of her own."
Asees,2018,127.0,Netflix,,7.4/10,44/100,"When a dispute breaks out between five siblings over their mother’s property, one devoted son will go to any lengths to protect her land."
Christmas Crossfire,2020,105.0,Netflix,,4.8/10,44/100,"A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him."
Cook Off,2017,101.0,Netflix,18+,6.1/10,44/100,"Yearning for a better life, a single mother with a passion for cooking gets a shot at greatness when her son enters her into a top reality cooking show."
Upstarts,2019,112.0,Netflix,,6.7/10,44/100,"Hoping to do good while making millions, three college graduates create a startup. But as business begins to flourish, their own bond starts to fray."
Wannabe Courageous,2019,95.0,Netflix,,5.7/10,44/100,"When his newlywed wife becomes disenchanted because he failed to protect her from danger, Omar seeks the help of a quirky psychiatrist to win her back."
My Stupid Boss 2,2019,96.0,Netflix,,6.6/10,44/100,"Having driven away many of his employees, Bossman and three of his long-suffering workers try to find cheap labor in Vietnam but find trouble instead."
Poster Boys,2017,87.0,Netflix,13+,5.4/10,44/100,"Three men are stunned to find their faces on a poster promoting vasectomies, and must prove to their upset loved ones that they're innocent victims."
Madness in the Desert: The Paris to Dakar Story,2013,59.0,Outra,,7.7/10,44/100,
Öldür Beni Sevgilim,2019,104.0,Outra,,4.4/10,44/100,
The Heartbreak Club,2021,101.0,Netflix,16+,6.4/10,44/100,"Coping with heartbreak, the shy owner of a floundering cafe finds solace in the Javanese love songs of Didi Kempot."
Verses of Love 2,2017,125.0,Netflix,,5.7/10,44/100,"Now a lecturer in Edinburgh, Fahri tries to begin a new chapter as the love of his life, Aisha, volunteers in the Gaza Strip. Have they moved on?"
Take the 10,2017,80.0,Netflix,,4.8/10,44/100,Two buddies working dead-end cashier jobs endure a mind-blowing series of events on their quest to get to the hip-hop show of their lives.
Manmadhudu 2,2019,155.0,Netflix,,4.8/10,44/100,"Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop."
Rainbow Jelly,2018,120.0,Netflix,,7.1/10,44/100,"Mistreated by his cruel uncle, an imaginative orphan with autism sees hope when a fairy vows to change his life with a week of enchanted recipes."
Wyatt Cenac: Brooklyn,2014,67.0,Netflix,,6.3/10,44/100,Wyatt Cenac heads to Brooklyn to share his observations on the borough that's the backdrop for three sitcoms and a reality show about cheesemongers.
Into the Beat,2020,102.0,Netflix,,5.3/10,44/100,A teen ballerina discovers hip-hop by chance and is faced with an impossible choice: Does she follow her parents’ footsteps... or her newfound passion?
The Bros,2017,102.0,Netflix,,6.2/10,44/100,"Reunited in their hometown for their father's funeral, two self-interested brothers meet a peculiar woman who shares a huge secret about their family."
Lembi 8 Giga,2010,111.0,Netflix,,4.7/10,44/100,"To upgrade his life, a simple man fakes his credentials as a lawyer when sudden extraordinary abilities give him the talent to thrive."
Santana,2020,106.0,Netflix,,3.8/10,44/100,Two brothers — one a narcotics agent and the other a general — finally discover the identity of the drug lord who murdered their parents decades ago.
The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,2019,13.0,Netflix,13+,7.2/10,44/100,"Aaron Paul, Vince Gilligan and other cast members, producers and crew share stories and footage from the making of ""El Camino."""
El Dealer,2010,,Outra,,5.7/10,44/100,
Jezebel,2020,104.0,Netflix,,5.7/10,44/100,"During the internet's infancy, a vulnerable woman follows her sister into the sex industry as a webcam model but her sudden popularity tests their bond."
Tootsies & The Fake,2019,109.0,Netflix,,5.8/10,44/100,"After knocking a celebrity unconscious before a huge job, a bumbling pack of pals tries to avoid a lawsuit by replacing her with a look-alike."
True: Tricky Treat Day,2019,22.0,Netflix,,7.1/10,44/100,It's up to True and her friends to save the day when a hungry Yeti sneaks a forbidden treat and fills the kingdom with Howling Greenies.
A StoryBots Christmas,2017,24.0,Netflix,,6.1/10,44/100,"Bo thinks her holiday gift-giving isn't good enough, so she heads north to study under Santa Claus – only to find he's missing."
Lee Su-geun: The Sense Coach,2021,45.0,Netflix,,4.0/10,44/100,"Lee Su-geun's rise to Korean comedy stardom went hand in hand with his mastery over picking up social cues. Now, he's ready to share his know-hows."
Thottappan,2019,140.0,Netflix,,7.0/10,44/100,"When his partner in crime goes missing, a small-time crook’s life is transformed as he dedicates himself to raising the daughter his friend left behind."
Heirs,2015,55.0,Outra,,5.7/10,44/100,
Urzila Carlson: Overqualified Loser,2020,62.0,Netflix,,6.2/10,44/100,"Stand-up comedian Urzila Carlson keeps the crowd roaring with her thoughts on recasting ""The Biggest Loser,"" sex tape regrets and boxed wine hangovers."
Sam Kinison: Family Entertainment Hour,1991,50.0,Netflix,,6.8/10,44/100,"Comic Sam Kinison lets it rip with this performance at L.A.'s Wiltern theatre, skewering every segment of modern society from religion to television."
Too Young The Hero,1988,100.0,Outra,,6.8/10,44/100,
