"Titulo","Ano","Escritor"
"Vampires",2020,"Benjamin Dupas"
"Vampires",2020,"Isaure Pisani-Ferry"
"Zindagi inShort",2021,"Gautam Govind Sharma"
"Ever After High",2013,"George Doty IV"
"Sirius the Jaeger",2018,"Masahiro Andô"
"Sirius the Jaeger",2018,"Takefumi Anzai"
"Sirius the Jaeger",2018,"Keigo Koyanagi"
"Dope",2017,"Ben Reid"
"Troy: Fall of a City",2018,"David Farr"
"The Last Czars",2019,"Christopher Bell"
"The Last Czars",2019,"Dana Fainaru"
"The Last Czars",2019,"Sasha Hails"
"Human: The World Within",2021,"Johnny Otto"
"Unit 42",2017,"Charlotte Joulia"
"One on One",2001,"Lisa Muse Bryant"
"One on One",2001,"Eunetta T. Boone"
"Nicky Jam: El Ganador",2018,"Kisha Tikina Burgos"
"Nicky Jam: El Ganador",2018,"Ari Maniel Cruz"
"Nicky Jam: El Ganador",2018,"Jorge Dorantes"
"Someone Has to Die",2020,"Manolo Caro"
"Someone Has to Die",2020,"Fernando Pérez"
"Voice",2017,"Jin-won Ma"
"La Révolution",2020,"Sabine Dabadie"
"La Révolution",2020,"Gaia Guasti"
"La Révolution",2020,"Hamid Hlioua"
"Queer Eye: We're in Japan!",2019,"David Collins"
"Danger Mouse",1981,"Brian Cosgrove"
"Danger Mouse",1981,"Mark Hall"
"Paava Kadhaigal",2020,"Sudha Kongara"
"Paava Kadhaigal",2020,"Vignesh Shivan"
"Paava Kadhaigal",2020,"Vetrimaaran"
"Man Like Mobeen",2017,"Guz Khan"
"Man Like Mobeen",2017,"Andy Milligan"
"X-Men",2011,"Warren Ellis"
"X-Men",2011,"Mitsutaka Hirota"
"X-Men",2011,"Jack Kirby"
"The Minions of Midas",2020,"Miguel Barros"
"Ultimate Beastmaster",2017,"David Broome"
"Ultimate Beastmaster",2017,"Sylvester Stallone"
"Trigger Warning with Killer Mike",2019,"Vernon Chatman"
"Trigger Warning with Killer Mike",2019,"Daniel Weidenfeld"
"The Queen of Flow",2018,"Andres Salgado"
"The Queen of Flow",2018,"Said Chamie"
"The Upshaws",2021,"Nicole Bilbrew"
"The Upshaws",2021,"Anil K. Foreman"
"Huge in France",2019,"John Blickstead"
"Huge in France",2019,"Trey Kollmer"
"Good Morning Call",2016,"Martin Genovski"
"Reality Z",2020,"Tatiana Bacal"
"Reality Z",2020,"João Costa"
"Reality Z",2020,"Rodrigo Monte"
"Bella and the Bulldogs",2015,"Jonathan Butler"
"Johnny Test",2005,"Scott Fellows"
"The I-Land",2019,"Anthony Salter"
"The I-Land",2019,"Neil LaBute"
"The I-Land",2019,"Lucy Teitler"
"Find Yourself",2020,"Qianmo Shui"
"Find Yourself",2020,"Xiongcheng Wang"
"Free Rein",2017,"Vicki Lutas"
"Ashes of Love",2018,"Lusha Chen"
"Ashes of Love",2018,"Binbin Jia"
"Ashes of Love",2018,"Wenjing Jiang"
"Million Pound Menu",2018,"Natalie McArdle"
"Million Pound Menu",2018,"Shaun Parry"
"All Hail King Julien",2014,"Steven Altiere"
"All Hail King Julien",2014,"Shane Atkinson"
"All Hail King Julien",2014,"Nicole Belisle"
"The Rational Life",2021,"Long Xiao Shan"
"The Rational Life",2021,"Chen Tong"
"Street Food",2019,"David Gelb"
"Street Food",2019,"Brian McGinn"
"A Little Thing Called First Love",2019,"Zhao Qian Qian"
"Headspace Guide to Meditation",2021,"Tarkan Küçükaksu"
"Record of Grancrest War",2018,"Ryo Mizuno"
"Abyss",2019,"Fabio Lopes"
"Silver Spoon",2014,"Yuri Burnosov"
"Silver Spoon",2014,"Tatyana Gluschenko"
"Silver Spoon",2014,"Sergey Kaluzhanov"
"Omniscient",2020,"Pedro Aguilera"
"Omniscient",2020,"Guilherme Freitas"
"Omniscient",2020,"Thais Fujinaga"
"Creeped Out",2017,"Bede Blake"
"The Worst Witch",2017,"Jill Murphy"
"The Worst Witch",2017,"Neil Jones"
"Diablero",2018,"Pablo Tébar"
"Diablero",2018,"Verónica Marzá"
"Samurai Gourmet",2017,"Masayuki Kusumi"
"Samurai Gourmet",2017,"Yoshihiro Taguchi"
"Samurai Gourmet",2017,"Kiyoto Wada"
"The Guest",2018,"Ibrahim Issa"
"You Are My Spring",2021,"Lee Mi-Na"
"My First First Love",2019,"Min-Seo Kim"
"The Mr. Peabody & Sherman Show",2015,"Eric Acosta"
"The Mr. Peabody & Sherman Show",2015,"Chris Allison"
"The Mr. Peabody & Sherman Show",2015,"Mike Bell"
"The Business of Drugs",2020,"Chris Cechin-De La Rosa"
"Jiva!",2021,"Bakang Sebatjane"
"Jiva!",2021,"Busisiwe Ntintili"
"Killer Ratings",2019,"Daniel Bogado"
"Killer Ratings",2019,"Dinah Lord"
"Killer Ratings",2019,"Eamonn Matthews"
"Go! Live Your Way",2019,"Gisela Benenzon"
"Go! Live Your Way",2019,"Sebastián Mellino"
"Criminal: France",2019,"Mathieu Missoffe"
"Criminal: France",2019,"George Kay"
"Criminal: France",2019,"Antonin Martin-Hilbert"
"Bloodride",2020,"Kjetil Indregard"
"Bloodride",2020,"Atle Knudsen"
"Glitch Techs",2020,"Dan Milano"
"Glitch Techs",2020,"Sandeep Parikh"
"Country Comfort",2021,"Julia Fowler"
"Country Comfort",2021,"Caryn Lucas"
"Nobody's Looking",2019,"Carolina Markowicz"
"Nobody's Looking",2019,"Teodoro Poppovic"
"Love & Anarchy",2020,"Alex Haridi"
"Love & Anarchy",2020,"Lisa Langseth"
"Family Reunion",2019,"Meg DeLoatch"
"Family Reunion",2019,"Sa'Rah Jones"
"Borderliner",2017,"David Elms"
"Borderliner",2017,"Chris Gau"
"Sisters",2017,"Jonathan Gavin"
"Sisters",2017,"Anita Jankovic"
"Sisters",2017,"Benjamin Law"
"Kissing Game",2020,"Esmir Filho"
"Kissing Game",2020,"Juliana Soares"
"Kissing Game",2020,"Marcelo Marchi"
"Good Morning, Verônica",2020,"Gustavo Bragança"
"Good Morning, Verônica",2020,"Ilana Casoy"
"Good Morning, Verônica",2020,"Carol Garcia"
"Bad Boy Billionaires: India",2020,"Dylan Mohan Gray"
"Neo Yokio",2017,"Ezra Koenig"
"Neo Yokio",2017,"Nick Weidenfeld"
"Grand Hotel",2016,"Tamer Habib"
"Grand Hotel",2016,"Mohamed Motasem"
"Crazy Delicious",2020,"Craig Hazell"
"Another Miss Oh",2016,"Soyeong Wi"
"Another Miss Oh",2016,"Park Hae Young"
"Soundtrack",2019,"Allyn Rachel"
"Soundtrack",2019,"Joshua Safran"
"Bad Guys",2014,"Jung-hoon Han"
"We Are the Wave",2019,"Jan Berger"
"Morocco: Love in Times of War",2017,"Ramón Campos"
"Morocco: Love in Times of War",2017,"Teresa Fernández-Valdés"
"Okupas",2000,"Esther Feldman"
"Okupas",2000,"Bruno Stagnaro"
"Sword Art Online Alternative: Gun Gale Online",2018,"Alexander Von David"
"Sword Art Online Alternative: Gun Gale Online",2018,"Reki Kawahara"
"Sword Art Online Alternative: Gun Gale Online",2018,"Yôsuke Kuroda"
"The Haunted Hathaways",2013,"Robert Peacock"
"The Queen and the Conqueror",2020,"Jhonny A. Ortiz"
"Hoops",2020,"Ari Berkowitz"
"Hoops",2020,"Ben Hoffman"
"Crime Diaries: The Candidate",2019,"Andrés Burgos"
"Crime Diaries: The Candidate",2019,"Alejandro Gerber Bicecci"
"Crime Diaries: The Candidate",2019,"Itzel Lara"
"Girls Hostel",2018,"Shreyasi Sharma"
"Girls Hostel",2018,"Swasti Jain"
"Power Rangers Dino Fury",2021,"Becca Barnes"
"Power Rangers Dino Fury",2021,"Alwyn Dale"
"Broken",2019,"Chris Cechin-De La Rosa"
"Broken",2019,"Sarah Holm Johansen"
"Broken",2019,"David Mettler"
"Barney & Friends",1992,"Dennis DeShazer"
"We the People",2021,"Chris Nee"
"The Big Show Show",2020,"Jason Berger"
"The Big Show Show",2020,"Josh Bycel"
"Ares",2020,"Matthijs Bockting"
"Ares",2020,"Pieter Kuijpers"
"Ares",2020,"Michael Leendertse"
"The Duchess",2020,"Katherine Ryan"
"Love Alarm",2019,"Yeon Su Cha"
"Love Alarm",2019,"Kye-Young Chon"
"Love Alarm",2019,"Seo Hui Kim"
"Loaded",2017,"Jon Brown"
"Loaded",2017,"Assaf Harel"
"Loaded",2017,"D.C. Jackson"
"Luna Nera",2020,"Francesca Manieri"
"Luna Nera",2020,"Laura Paolucci"
"Luna Nera",2020,"Tiziana Triana"
"Secrets of Great British Castles",2015,"Dan Jones"
"Ridley Jones",2021,"Chris Nee"
"Children of the Whales",2017,"Abi Umeda"
"Children of the Whales",2017,"Michiko Yokote"
"Live",2018,"Hee-Kyung No"
"Valeria",2020,"Elísabet Benavent"
"Valeria",2020,"María López Castaño"
"Girls und Panzer",2012,"Reiko Yoshida"
"The Adventures of Puss in Boots",2015,"Ben Acker"
"The Adventures of Puss in Boots",2015,"Ben Blacker"
"The Adventures of Puss in Boots",2015,"Candie Langdale"
"Merry Happy Whatever",2019,"Talia Bernstein"
"Merry Happy Whatever",2019,"Tucker Cawley"
"MeatEater",2012,"Stephen Nolly"
"MeatEater",2012,"Steven Rinella"
"Paquita Salas",2016,"Javier Ambrossi"
"Heartbreak High",1994,"David Phillips"
"Heartbreak High",1994,"Sally Webb"
"Heartbreak High",1994,"Kevin Roberts"
"Reply 1994",2013,"Woo-jung Lee"
"El Final del Paraíso",2019,"Gustavo Bolívar Moreno"
"El Final del Paraíso",2019,"Gerardo Perez Zermeno"
"El Final del Paraíso",2019,"Gerardo Pérez"
"Trailer Park Boys: Out of the Park: Europe",2016,"Mike Smith"
"Trailer Park Boys: Out of the Park: Europe",2016,"John Paul Tremblay"
"Trailer Park Boys: Out of the Park: Europe",2016,"Robb Wells"
"If I Hadn't Met You",2018,"Sergi Belbel"
"If I Hadn't Met You",2018,"Cristina Clemente"
"Einsatzgruppen: The Nazi Death Squads",2009,"Michaël Prazan"
"Rookie Historian Goo Hae-Ryung",2019,"Ho-Soo Kim"
"Put Your Head on My Shoulder",2019,"Qi Dai"
"Put Your Head on My Shoulder",2019,"Eva"
"Put Your Head on My Shoulder",2019,"Xueying Wu"
"Monzón: A Knockout Blow",2019,"Leandro Custo"
"Monzón: A Knockout Blow",2019,"Gabriela Larralde"
"Monzón: A Knockout Blow",2019,"Gabriel Nicoli"
"The Expanding Universe of Ashley Garcia",2020,"Rosie Borchert"
"The Expanding Universe of Ashley Garcia",2020,"Heather Dean"
"The Snitch Cartel: Origins",2021,"Johny Alexander Ortiz"
"The Snitch Cartel: Origins",2021,"Karen Rodríguez"
"Criminal: Spain",2019,"Jim Field Smith"
"Criminal: Spain",2019,"Sebastian Heeg"
"Criminal: Spain",2019,"Alejandro Hernández"
"Half & Half",2002,"Jeffrey Klarik"
"One Spring Night",2019,"Kim Eun"
"Chicago Typewriter",2017,"Su-wan Jin"
"The Least Expected Day: Inside the Movistar Team 2019",2020,"Marc Pons"
"Nicky, Ricky, Dicky & Dawn",2014,"Michael Feldman"
"My Country: The New Age",2019,"Chae Seung-dae"
"La Doña",2016,"Gerardo Cadena"
"La Doña",2016,"Alejandra Diaz"
"La Doña",2016,"Illay Eskinazi"
"Capitani",2019,"Thierry Faber"
"Capitani",2019,"Eric Lamhene"
"Capitani",2019,"Christophe Wagner"
"Final Fantasy XIV: Dad of Light",2017,"Kôta Fukihara"
"Final Fantasy XIV: Dad of Light",2017,"Maidy"
"Trash Truck",2020,"Max Keane"
"The Victims' Game",2020,"Shih-Keng Chien"
"The Victims' Game",2020,"Jui-Liang Hsu"
"The Victims' Game",2020,"Yu-Chia Huang"
"Leila",2019,"Prayaag Akbar"
"Leila",2019,"Patrick Graham"
"Designated Survivor: 60 Days",2019,"Tae Hee Kim"
"Subat",2012,"Funda Alp"
"The Last Kids on Earth",2019,"Joshua Pruett"
"The Last Kids on Earth",2019,"Jennifer Muro"
"Dating Around",2019,"Chris Culvenor"
"Drug Lords",2018,"Maximo Pain"
"Jinn",2019,"Matthew Antonelli"
"Jinn",2019,"Elan Dassani"
"Jinn",2019,"Rajeev Dassani"
"The Wiggles",1998,"Murray Cook"
"The Wiggles",1998,"Jeff Fatt"
"The Wiggles",1998,"Anthony Field"
"The InBESTigators",2019,"Robyn Butler"
"The InBESTigators",2019,"Wayne Hope"
"Ad Vitam",2018,"Thomas Cailley"
"Ad Vitam",2018,"Sébastien Mounier"
"Inhuman Resources",2020,"Pierre Lemaitre"
"Inhuman Resources",2020,"Perrine Margaine"
"The Club",2019,"Camila Ibarra"
"Rabbids Invasion",2013,"John Banana"
"Rabbids Invasion",2013,"Hervé Benedetti"
"Rabbids Invasion",2013,"Isabelle Bottier"
"Why Are You Like This?",2021,"Jas Isaksson"
"Moesha",1996,"Sara Finney-Johnson"
"The Alcàsser Murders",2019,"Ramón Campos"
"The Alcàsser Murders",2019,"León Siminiani"
"Scare Tactics",2003,"Andy King"
"Scare Tactics",2003,"Adam Brodie"
"Levius",2019,"Shane Gotcher"
"Levius",2019,"Haruhisa Nakata"
"That Winter, the Wind Blows",2013,"Hee-Kyung No"
"We Are the Champions",2020,"Matthew-Lee Erlbach"
"Oktoberfest: Beer & Blood",2020,"Christian Limmer"
"The Stranded",2019,"Christian James Durso"
"The Stranded",2019,"Chawanwit Imchai"
"Chelsea",2016,"Gil Cunha"
"Chelsea",2016,"Adam De La Peña"
"Chelsea",2016,"Brandy Finmark"
"Transformers: Rescue Bots",2012,"Nicole Dubuc"
"Taj Mahal 1989",2020,"Pushpendra Nath Misra"
"Gameboys",2020,"Jun Lana"
"Gameboys",2020,"Ash Malanum"
"Murder Maps",2015,"William Simpson"
"Murder Maps",2015,"Cal Seville"
"White Rabbit Project",2016,"Chris Williams"
"Mystery Lab",2020,"Felipe Castanhari"
"Mystery Lab",2020,"Rob Gordon"
"Mystery Lab",2020,"Israel Motta"
"Tomorrow with You",2017,"Sung-hye Heo"
"Rosario Tijeras",2017,"Adriana Pelusi"
"Rosario Tijeras",2017,"Carlos Quintanilla"
"Supermarket Sweep",1990,"Jerrilyn Farmer"
"Supermarket Sweep",1990,"Al Howard"
"Supermarket Sweep",1990,"Henry Howard"
"Autumn's Concerto",2009,"Hui-Chen Chen"
"Autumn's Concerto",2009,"Wei-ling Chen"
"Mobile Suit Gundam Unicorn",2010,"Harutoshi Fukui"
"Mobile Suit Gundam Unicorn",2010,"Yasuyuki Muto"
"Big Timber",2020,"Nick Baker"
"Big Timber",2020,"Cheryl Binning"
"Big Timber",2020,"Karen Duthie"
"The Trial",2019,"Alessandro Fabbri"
"Bumping Mics with Jeff Ross & Dave Attell",2018,"Dave Attell"
"Bumping Mics with Jeff Ross & Dave Attell",2018,"Jeffrey Ross"
"Hardy Bucks",2010,"Mike Cockayne"
"Hardy Bucks",2010,"Martin Maloney"
"Nevenka: Breaking the Silence",2021,"Marisa Lafuente"
"Ellen DeGeneres: Relatable",2018,"Ellen DeGeneres"
"Brews Brothers",2020,"Greg Schaffer"
"Brews Brothers",2020,"Steve Joe"
"Mismatched",2020,"Gazal Dhaliwal"
"The Sound of Your Heart",2016,"Byung-Hoon Lee"
"Booba",2014,"Andrew Viner"
"Booba",2014,"Olga Granovskaya"
"Zero Chill",2021,"Kirstie Falkous"
"Zero Chill",2021,"John Regier"
"Zero Chill",2021,"Adam Usden"
"Chocolate",2019,"Kyeong-hee Lee"
"Rugal",2020,"Hyeon Do"
"Moving On",2009,"Jimmy McGovern"
"Hache",2019,"Verónica Fernández"
"Fallet",2017,"Erik Hultkvist"
"Black Ink Crew New York",2013,"Andrew Spires"
"Lunatics",2019,"Chris Lilley"
"Angry Birds Toons",2013,"Lauri Konttori"
"Angry Birds Toons",2013,"Ian Carney"
"Puffin Rock",2015,"Lily Bernard"
"Puffin Rock",2015,"Tomm Moore"
"Puffin Rock",2015,"Paul Young"
"Kid Cosmic",2021,"Lienne Sawatsky"
"Kid Cosmic",2021,"Daniel Williams"
"Kid Cosmic",2021,"Craig McCracken"
"Chef's Table: BBQ",2020,"David Gelb"
"City of Ghosts",2021,"Carina Green"
"City of Ghosts",2021,"Ryan Patch"
"Unstoppable",2020,"Diego Martínez Ulanosky"
"Unstoppable",2020,"Patricia Ulanosky"
"Wild Catch / Chasing Monsters",2016,"Geoffrey Uloth"
"Wild Catch / Chasing Monsters",2016,"Cyril Chauquet"
"Handsome Siblings",2020,"Nian Jiu"
"Molang",2015,"Balthazar Chapuis"
"Molang",2015,"Bérengère Chapuis"
"Beyblade Burst",2016,"Kate J. Anderson"
"Beyblade Burst",2016,"Jalen K. Cassell"
"Beyblade Burst",2016,"Bobby Henwood"
"Stolen Away",2020,"Natxo López"
"Bombay Begums",2021,"Alankrita Shrivastava"
"Bombay Begums",2021,"Iti Agarwal"
"Signs",2018,"Ewa Fita"
"Signs",2018,"Przemyslaw Hoffmann"
"The Deep",2016,"Tom Taylor"
"Hot Date",2017,"Emily Axford"
"Hot Date",2017,"Brian Murphy"
"Trolls: The Beat Goes On!",2018,"John D'Arco"
"The Healing Powers of Dude",2020,"Sam Littenberg-Weisberg"
"The Healing Powers of Dude",2020,"Joy Regullano"
"Under Suspicion: Uncovering the Wesphael Case",2021,"Georges Huercano"
"Under Suspicion: Uncovering the Wesphael Case",2021,"Yann Le Gal"
"Under Suspicion: Uncovering the Wesphael Case",2021,"Pascal Vrebos"
"Familiar Wife",2018,"Hee-Seung Yang"
"Fastest Car",2018,"Scott Weintrob"
"The Cuba Libre Story",2016,"Emmanuel Amara"
"The Cuba Libre Story",2016,"Kai Christiansen"
"The Cuba Libre Story",2016,"Florian Dedio"
"El Chema",2016,"Juan Manuel Andrade"
"El Chema",2016,"Iris Dubs"
"My Little Pony: Equestria Girls",2017,"Jambareeqi"
"Love (ft. Marriage and Divorce)",2021,"Sung-han Im"
"Dealer",2021,"Jeroen Perceval"
"Can You Hear Me?",2019,"Florence Longpré"
"Can You Hear Me?",2019,"Pascale Renaud-Hébert"
"Do Do Sol Sol La La Sol",2020,"Ji-Young Oh"
1994,2019,"Gianluca Bernardini"
1994,2019,"Mirko Cetrangolo"
"Pac-Man and the Ghostly Adventures",2013,"Dave Ellis"
"The Parkers",1999,"Ralph Farquhar"
"The Parkers",1999,"Sara Finney-Johnson"
"First Team: Juventus",2018,"Aaron Cohen"
"First Team: Juventus",2018,"Robert Liano"
"Warrior",2018,"Bruce Lee"
"Warrior",2018,"Jonathan Tropper"
"Gigantosaurus",2019,"Jordan Gershowitz"
"Gigantosaurus",2019,"Jacqueline Moody"
"Gigantosaurus",2019,"Annabelle Perrichon"
"The Magic School Bus Rides Again",2017,"Suzanne Bolch"
"The Magic School Bus Rides Again",2017,"Joanna Cole"
"Monty Python's Fliegender Zirkus",1972,"Graham Chapman"
"Monty Python's Fliegender Zirkus",1972,"John Cleese"
"Monty Python's Fliegender Zirkus",1972,"Eric Idle"
"Outback Truckers",2012,"Chris Blackburn"
"Regiment Diaries",2018,"Mugdha Kalra"
"Regiment Diaries",2018,"Akul Tripathi"
"Granblue Fantasy: The Animation",2017,"Michael McConnohie"
"Women of the Night",2019,"Ian Ginn"
"Women of the Night",2019,"Maarten Almekinders"
"Women of the Night",2019,"Philip Delmaar"
"Hi Bye, Mama!",2020,"Hye-joo Kwon"
"Dad Stop Embarrassing Me!",2021,"Donald Ray 'Speedy' Caldwell Jr."
"Dad Stop Embarrassing Me!",2021,"Camille Corbett"
"Dad Stop Embarrassing Me!",2021,"Jamie Foxx"
"Kuromukuro",2016,"Ryô Higaki"
"Kuromukuro",2016,"Touko Machida"
"Kuromukuro",2016,"Shigeru Morita"
"Real Rob",2015,"Jamie Lissow"
"Real Rob",2015,"Patricia Maya Schneider"
"Prank Encounters",2019,"Doug Perkins"
"Prank Encounters",2019,"David Storrs"
"Sintonia",2019,"Guilherme Moraes Quintella"
"Examination of Conscience",2019,"Amanda Sans Pantling"
"Examination of Conscience",2019,"Meritxell Llorens"
"Examination of Conscience",2019,"Albert Solé"
"Twenty Again",2015,"Heung-sik Park"
"Tokyo Trial",2016,"Rob W. King"
"Tokyo Trial",2016,"Max Mannix"
"Tokyo Trial",2016,"Toru Takagi"
"The Cat in the Hat Knows a Lot About That!",2010,"Bob Ardiel"
"The Cat in the Hat Knows a Lot About That!",2010,"Kate Barris"
"The Unsettling",2019,"Adam Jay Epstein"
"The Unsettling",2019,"Andrew Jacobson"
"Super Drags",2018,"Chico Amorim"
"Super Drags",2018,"César Barbosa"
"Super Drags",2018,"Fernanda Brandalise"
"Pop Team Epic",2018,"Bkub Okawa"
"Pop Team Epic",2018,"Jun Aoki"
"Feels Like Ishq",2021,"Danish Aslam"
"Feels Like Ishq",2021,"Sulagna Chatterjee"
"Feels Like Ishq",2021,"Shubhra Chatterji"
"Haunted: Latin America",2021,"Ramiro García Bogliano"
"Brainchild",2018,"Dan Bromfield"
"Brainchild",2018,"Adam 'Tex' Davis"
"Brainchild",2018,"Zach Selwyn"
"Record of Youth",2020,"Myung Hee Ha"
"StarBeam",2020,"Loris Kramer Lunsford"
"StarBeam",2020,"Jason Netter"
"StarBeam",2020,"Noelle Wright"
"Fate/Apocrypha",2017,"Erica Mendez"
"Fate/Apocrypha",2017,"Kinoko Nasu"
"Pui Pui Molcar",2021,"Shin-Ei Animation"
"Pui Pui Molcar",2021,"Japan GreenHearts"
"Pui Pui Molcar",2021,"Tomoki Misato"
"Yankee",2019,"Diego Enrique Osorno"
"Project Mc²",2015,"Jordana Arkin"
"Rainbow High",2020,"Michael S. Anderson"
"Rainbow High",2020,"Adrienne Sterman"
"Rainbow High",2020,"Jeannette Lara"
"Her Private Life",2019,"Hye Young Kim"
"Waffles + Mochi",2021,"Jeremy Konner"
"Waffles + Mochi",2021,"Lyric Lewis"
"Sneakerheads",2020,"Jay Longino"
"Sneakerheads",2020,"Jason Belleville"
"My Dead Ex",2018,"Drew Hancock"
"Ending So Gently",2017,"Farouk Hashem"
"Victim Number 8",2018,"Sara Antuña"
"Victim Number 8",2018,"Marc Cistaré"
"The Unlisted",2019,"Jane Allen"
"The Unlisted",2019,"Tristram Baumber"
"Cagaster of an Insect Cage",2020,"Kachou Hashimoto"
"Bill Nye Saves the World",2017,"Mike Drucker"
"Bill Nye Saves the World",2017,"Prashanth Venkataramanujam"
"A.I.C.O. -Incarnation-",2018,"Alexander Chirlin"
"Restaurants on the Edge",2020,"Courtney Hazlett"
"Persona",2019,"Hakan Gunday"
"El Reemplazante",2012,"Hernan Rodriguez Matte"
"El Reemplazante",2012,"Pancho Castillo"
"Bolívar: Una lucha admirable",2019,"Juana Uribe"
"The Epic Tales of Captain Underpants",2018,"Mark Banker"
"The Epic Tales of Captain Underpants",2018,"Sindy Boveda-Spackman"
"The Chosen One",2019,"Pablo Cruz"
"The Chosen One",2019,"Raphael Draccon"
"Hyena",2020,"Kim Roo-Ri"
"Pitta Kathalu",2021,"Radhika Anand"
"Pitta Kathalu",2021,"Nag Ashwin"
"Timmy Time",2009,"Jackie Cockle"
"Timmy Time",2009,"Dave Osmand"
"Life",2018,"Rhett Reese"
"Life",2018,"Paul Wernick"
"Surviving Death",2021,"Leslie Kean"
"Masaba Masaba",2020,"Punya Arora"
"Masaba Masaba",2020,"Nandini Gupta"
"The House Arrest of Us",2020,"John Leo Garcia"
"The House Arrest of Us",2020,"Carmel Josine Jacomille"
"The House Arrest of Us",2020,"Carmi Raymundo"
"Shaun the Sheep: Adventures from Mossy Bottom",2020,"Nick Park"
"Shaun the Sheep: Adventures from Mossy Bottom",2020,"Alison Snowden"
"Shaun the Sheep: Adventures from Mossy Bottom",2020,"Richard Starzak"
"Hello, Me!",2021,"Kim Hye-Jung"
"Hello, Me!",2021,"Yoo Song-yi"
"Witch Hunt: A Century of Murder",2015,"Suzannah Lipscomb"
"Gabby's Dollhouse",2021,"Matt Fleckenstein"
"Gabby's Dollhouse",2021,"Gilli Nissim"
"Toon",2016,"Beer ten Kate"
"Toon",2016,"Dirk van Pelt"
"World of Winx",2016,"Davide Aicardi"
"World of Winx",2016,"Francesco Artibani"
"World of Winx",2016,"Alessandro Ferrari"
"The Big Day",2021,"Nikita Deshpande"
"Beni Böyle Sev",2013,"Deniz Büyükkirli"
"Beni Böyle Sev",2013,"Hakan Haksun"
"Beni Böyle Sev",2013,"Müjdan Kayserli"
"Malibu Rescue: The Series",2019,"Danielle Calvert"
"Malibu Rescue: The Series",2019,"Jed Elinoff"
"Lost & Found Music Studios",2015,"Frank van Keeken"
"Lost & Found Music Studios",2015,"Amy Cole"
"Minecraft: Story Mode",2018,"Michael Choung"
"Minecraft: Story Mode",2018,"Laura Jacqmin"
"Minecraft: Story Mode",2018,"Brad Kane"
"The Break with Michelle Wolf",2018,"Joanna Bradley"
"The Break with Michelle Wolf",2018,"Christine Nangle"
"Beat Bugs",2016,"Josh Wakely"
"Private Lives",2020,"Yoo Sung Yeol"
"Transformers: Cyberverse",2018,"Randolph Heard"
"Can't Cope, Won't Cope",2016,"Stefanie Preissner"
"Back to 1989",2016,"Han-Hsuan Chen"
"Back to 1989",2016,"Meng-Ho Lan"
"Back to 1989",2016,"Sung-Lin Li"
"The Garfield Show",2009,"Emmanuelle Aubert"
"The Garfield Show",2009,"Peter Betts"
"The Garfield Show",2009,"Jim Davis"
"Schulz Saves America: Pandemics, Predators, Protests & Presidents",2020,"Mark Gagnon"
"Schulz Saves America: Pandemics, Predators, Protests & Presidents",2020,"Efe Ilguy"
"Schulz Saves America: Pandemics, Predators, Protests & Presidents",2020,"Andrew Schulz"
"Was It Love",2020,"Lee Seung-Jin"
"Dawn of the Croods",2015,"Matthew Ireland Beans"
"A Touch of Green",2015,"Shih-Ming Huang"
"A Touch of Green",2015,"Hsien-Yung Pai"
"Power Rangers Beast Morphers",2019,"Becca Barnes"
"Just You",2013,"Yaya Chang"
"Just You",2013,"Pi-Chen Chen"
"Just You",2013,"Chih-Yi Hsu"
"Awake: The Million Dollar Game",2019,"Victoria Ashbourne"
"Awake: The Million Dollar Game",2019,"David Broome"
"Awake: The Million Dollar Game",2019,"Simon Conti"
"In Family We Trust",2018,"Supalerk Ningsanond"
"In Family We Trust",2018,"Vasudhorn Piyaromna"
"In Family We Trust",2018,"Tossaphon Riantong"
"The Way of the Househusband",2021,"Kousuke Oono"
"Jenni Rivera: Mariposa de Barrio",2017,"Gerardo Cadena"
"Jenni Rivera: Mariposa de Barrio",2017,"Illay Eskinazi"
"Jenni Rivera: Mariposa de Barrio",2017,"Sergio Mendoza"
"Pokémon Journeys: The Series",2019,"Shôji Yonemura"
"Pokémon Journeys: The Series",2019,"Reiko Yoshida"
"Skylanders Academy",2016,"Eric Rogers"
"The Good Detective",2020,"Jin-won Choi"
"The Fix",2018,"Marcia Clark"
"One More Time",2016,"Robert Edwards"
"Astronomy Club: The Sketch Show",2019,"Jonathan Braylock"
"Astronomy Club: The Sketch Show",2019,"Ray Cordova"
"Prince of Peoria",2018,"Devin Bunje"
"Miss in Kiss",2016,"Yi-Fang Lee"
"Numberblocks",2017,"Max Allen"
"Numberblocks",2017,"Ciaran Murtagh"
"Polly Pocket",2018,"Shea Fontana"
"All About the Washingtons",2018,"Jeremy Bronson"
"Goedam",2020,"Lee Gang-Hyeon"
"Archibald's Next Big Thing",2019,"Drew Champion"
"All Hail King Julien: Exiled",2017,"Eric Darnell"
"All Hail King Julien: Exiled",2017,"Benjamin Lapides"
"Dragons: Rescue Riders",2019,"Steven Altiere"
"Dragons: Rescue Riders",2019,"Laura Bowes"
"21 Thunder",2017,"Riley Adams"
"Smoking",2018,"Zuimaro Awashima"
"Smoking",2018,"Yûsuke Moriguchi"
"Smoking",2018,"Nonji Nemoto"
"My Only Love Song",2017,"Su-jin Kim"
"Bromance",2015,"Pi-Chen Chen"
"Bromance",2015,"Han-Wen Cheng"
"Bromance",2015,"Hsiao-Jen Fang"
